Date,Donation Source,State,Quantity Received (kg),Quantity Delivered (kg),No. of People Served,Shelter Name
2025-01-17,Hotel Plaza,Haryana,265.1,258.42,231,"Sukoon Sadan, Hisar"
2025-01-17,Campus Canteen,Uttar Pradesh,262.37,250.65,231,"Prayag Seva Sadan, Prayagraj"
2025-01-17,Corporate Office,Himachal Pradesh,257.35,247.38,239,"Manali Niwas, Manali"
2025-01-17,Marriage Hall,Delhi,233.09,223.05,243,"Snehi Niwas, Dwarka"
2025-01-18,Campus Canteen,Himachal Pradesh,255.96,247.32,223,"Dharamsala Shelter, Dharamsala"
2025-01-18,NGO Kitchen,Punjab,260.32,248.2,231,"Vatsal Niwas, Jalandhar"
2025-01-18,Marriage Hall,Haryana,266.91,254.32,234,"Mamta Ashram, Rohtak"
2025-01-18,Corporate Office,Himachal Pradesh,232.59,227.4,248,"Kullu Seva Kendra, Kullu"
2025-01-18,Hotel Plaza,Punjab,288.26,280.21,252,"Guru Nanak Seva Sadan, Amritsar"
2025-01-19,Corporate Office,Delhi,255.33,245.9,226,"Snehi Niwas, Dwarka"
2025-01-19,Community Center,Himachal Pradesh,199.25,195.11,227,"Himalayan Aasra, Shimla"
2025-01-19,Student Mess,Rajasthan,234.91,224.72,230,"Aravalli Niwas, Ajmer"
2025-01-19,NGO Kitchen,Rajasthan,244.31,237.28,233,"Thar Seva Sadan, Jodhpur"
2025-01-19,Food Corner,Himachal Pradesh,274.83,262.48,242,"Manali Niwas, Manali"
2025-01-19,Marriage Hall,Haryana,240.55,229.12,248,"Aanchal Shelter, Gurugram"
2025-01-20,City Restaurant,Punjab,218.89,211.14,229,"Vatsal Niwas, Jalandhar"
2025-01-20,Food Corner,Haryana,220.53,210.82,236,"Sukoon Sadan, Hisar"
2025-01-20,Student Mess,Jammu & Kashmir,218.19,208.79,236,"Dal Kinara Shelter, Srinagar"
2025-01-21,Student Mess,Delhi,268.16,260.33,227,"Umeed Ghar, Saket"
2025-01-21,NGO Kitchen,Himachal Pradesh,216.61,210.56,230,"Dharamsala Shelter, Dharamsala"
2025-01-21,Community Center,Punjab,217.92,208.54,243,"Vatsal Niwas, Jalandhar"
2025-01-21,Corporate Office,Himachal Pradesh,266.27,255.8,254,"Dalhousie Relief Home, Dalhousie"
2025-01-22,NGO Kitchen,Jammu & Kashmir,252.13,243.02,230,"Jhelum Seva Sadan, Jammu"
2025-01-22,Marriage Hall,Himachal Pradesh,249.38,242.29,237,"Kullu Seva Kendra, Kullu"
2025-01-22,Community Center,Uttar Pradesh,276.15,265.28,237,"Prayag Seva Sadan, Prayagraj"
2025-01-22,Hotel Plaza,Uttar Pradesh,221.97,217.49,244,"Vrindavan Aasra, Mathura"
2025-01-22,Food Corner,Punjab,282.88,270.54,252,"Khalsa Ashram, Ludhiana"
2025-01-23,Marriage Hall,Himachal Pradesh,208.69,204.27,236,"Himalayan Aasra, Shimla"
2025-01-23,Food Corner,Punjab,280.57,270.74,242,"Khalsa Ashram, Ludhiana"
2025-01-23,Local Bakery,Uttar Pradesh,223.07,218.09,243,"Shanti Niwas, Lucknow"
2025-01-23,NGO Kitchen,Himachal Pradesh,265.98,255.32,251,"Kullu Seva Kendra, Kullu"
2025-01-23,Campus Canteen,Punjab,225.3,219.98,252,"Sewa Bhawan, Patiala"
2025-01-23,Hotel Plaza,Delhi,281.99,276.4,254,"Aasra Shelter Home, Paharganj"
2025-01-24,Campus Canteen,Himachal Pradesh,279.87,267.48,238,"Dalhousie Relief Home, Dalhousie"
2025-01-24,Food Corner,Uttarakhand,237.1,230.76,241,"Mandakini Ashram, Rudraprayag"
2025-01-24,Local Bakery,Uttar Pradesh,278.48,267.39,243,"Vrindavan Aasra, Mathura"
2025-01-24,Community Center,Himachal Pradesh,230.59,219.87,243,"Dalhousie Relief Home, Dalhousie"
2025-01-24,NGO Kitchen,Haryana,228.32,223.31,249,"Mamta Ashram, Rohtak"
2025-01-24,City Restaurant,Himachal Pradesh,272.63,261.04,256,"Dharamsala Shelter, Dharamsala"
2025-01-25,Hotel Plaza,Uttar Pradesh,265.06,253.46,235,"Shanti Niwas, Lucknow"
2025-01-25,Food Corner,Haryana,228.61,222.35,244,"Sahara Bhawan, Karnal"
2025-01-25,NGO Kitchen,Jammu & Kashmir,263.72,251.64,246,"Dal Kinara Shelter, Srinagar"
2025-01-25,Corporate Office,Rajasthan,237.13,231.32,248,"Rajwada Relief Home, Jaipur"
2025-01-25,Community Center,Jammu & Kashmir,219.4,213.76,250,"Pahalgam Aasra, Pahalgam"
2025-01-25,Local Bakery,Uttar Pradesh,234.27,223.86,251,"Agra Relief Center, Agra"
2025-01-25,Campus Canteen,Uttar Pradesh,291.21,279.79,258,"Agra Relief Center, Agra"
2025-01-26,City Restaurant,Jammu & Kashmir,254.89,245.53,233,"Chenab Niwas, Udhampur"
2025-01-26,Marriage Hall,Uttar Pradesh,252.85,241.14,234,"Agra Relief Center, Agra"
2025-01-26,Local Bakery,Jammu & Kashmir,249.16,238.2,244,"Banihal Relief Home, Banihal"
2025-01-26,Food Corner,Himachal Pradesh,225.9,218.24,250,"Dharamsala Shelter, Dharamsala"
2025-01-27,Campus Canteen,Jammu & Kashmir,275.53,266.95,236,"Dal Kinara Shelter, Srinagar"
2025-01-27,NGO Kitchen,Delhi,259.47,248.59,240,"Snehi Niwas, Dwarka"
2025-01-27,Student Mess,Himachal Pradesh,237.91,231.71,244,"Dalhousie Relief Home, Dalhousie"
2025-01-27,Food Corner,Jammu & Kashmir,238.71,227.53,246,"Dal Kinara Shelter, Srinagar"
2025-01-27,City Restaurant,Rajasthan,247.12,238.72,253,"Aravalli Niwas, Ajmer"
2025-01-27,Marriage Hall,Rajasthan,272.19,264.7,253,"Aravalli Niwas, Ajmer"
2025-01-28,Community Center,Haryana,228.44,218.29,238,"Sahara Bhawan, Karnal"
2025-01-28,Campus Canteen,Punjab,289.15,281.38,255,"Vatsal Niwas, Jalandhar"
2025-01-28,Hotel Plaza,Uttarakhand,300.56,288.88,256,"Pahadi Niwas, Haridwar"
2025-01-29,Hotel Plaza,Uttar Pradesh,258.21,247.54,237,"Vrindavan Aasra, Mathura"
2025-01-29,Corporate Office,Haryana,213.49,206.31,239,"Sahara Bhawan, Karnal"
2025-01-29,Campus Canteen,Uttar Pradesh,231.28,223.06,242,"Shanti Niwas, Lucknow"
2025-01-29,Community Center,Jammu & Kashmir,271.09,264.03,244,"Jhelum Seva Sadan, Jammu"
2025-01-29,Food Corner,Punjab,272.98,260.27,246,"Sewa Bhawan, Patiala"
2025-01-29,NGO Kitchen,Uttarakhand,234.97,227.1,247,"Mandakini Ashram, Rudraprayag"
2025-01-29,City Restaurant,Delhi,262.49,255.94,255,"Aasra Shelter Home, Paharganj"
2025-01-30,Community Center,Jammu & Kashmir,277.61,266.51,238,"Dal Kinara Shelter, Srinagar"
2025-01-30,Hotel Plaza,Himachal Pradesh,226.08,216.87,251,"Dharamsala Shelter, Dharamsala"
2025-01-30,City Restaurant,Himachal Pradesh,248.74,238.37,252,"Kullu Seva Kendra, Kullu"
2025-01-30,Marriage Hall,Punjab,274.8,266.76,253,"Vatsal Niwas, Jalandhar"
2025-01-30,Local Bakery,Himachal Pradesh,300.38,289.81,256,"Kullu Seva Kendra, Kullu"
2025-01-30,Campus Canteen,Himachal Pradesh,258.72,251.25,256,"Kullu Seva Kendra, Kullu"
2025-01-31,Marriage Hall,Delhi,250.75,240.26,238,"Dil Se Sewa Kendra, Rohini"
2025-01-31,Campus Canteen,Haryana,290.06,278.98,245,"Priya Niwas, Faridabad"
2025-01-31,City Restaurant,Haryana,253.68,241.88,246,"Sukoon Sadan, Hisar"
2025-01-31,Local Bakery,Delhi,283.88,270.9,252,"Umeed Ghar, Saket"
2025-02-01,City Restaurant,Himachal Pradesh,252.84,242.72,240,"Dalhousie Relief Home, Dalhousie"
2025-02-01,Corporate Office,Uttar Pradesh,236.29,226.03,247,"Ganga Kinara Ashram, Varanasi"
2025-02-01,Community Center,Haryana,239.95,233.36,250,"Sukoon Sadan, Hisar"
2025-02-02,Corporate Office,Uttarakhand,231.15,223.8,239,"Pahadi Niwas, Haridwar"
2025-02-02,Marriage Hall,Delhi,261.38,254.22,250,"Umeed Ghar, Saket"
2025-02-02,Community Center,Uttarakhand,236.72,229.01,250,"Shivalik Aasra, Rishikesh"
2025-02-02,City Restaurant,Himachal Pradesh,299.05,286.15,255,"Kullu Seva Kendra, Kullu"
2025-02-02,Hotel Plaza,Jammu & Kashmir,229.43,222.42,259,"Pahalgam Aasra, Pahalgam"
2025-02-02,Campus Canteen,Punjab,239.82,234.09,261,"Nanak Niwas, Bathinda"
2025-02-03,Student Mess,Delhi,281.27,269.18,236,"Umeed Ghar, Saket"
2025-02-03,Hotel Plaza,Himachal Pradesh,237.03,226.87,240,"Himalayan Aasra, Shimla"
2025-02-03,Food Corner,Punjab,227.17,221.44,252,"Nanak Niwas, Bathinda"
2025-02-03,Community Center,Himachal Pradesh,284.4,278.52,262,"Kullu Seva Kendra, Kullu"
2025-02-03,City Restaurant,Himachal Pradesh,273.63,264.44,263,"Dharamsala Shelter, Dharamsala"
2025-02-04,City Restaurant,Delhi,214.38,207.62,240,"Umeed Ghar, Saket"
2025-02-04,NGO Kitchen,Jammu & Kashmir,279.07,267.53,243,"Jhelum Seva Sadan, Jammu"
2025-02-04,Community Center,Delhi,257.85,247.35,250,"Snehi Niwas, Dwarka"
2025-02-04,Hotel Plaza,Himachal Pradesh,239.81,233.1,251,"Dharamsala Shelter, Dharamsala"
2025-02-04,Food Corner,Rajasthan,256.77,245.42,260,"Bikaner Shelter Trust, Bikaner"
2025-02-05,City Restaurant,Delhi,217.98,207.95,237,"Dil Se Sewa Kendra, Rohini"
2025-02-05,Marriage Hall,Uttarakhand,249.71,238.08,247,"Mandakini Ashram, Rudraprayag"
2025-02-05,Campus Canteen,Himachal Pradesh,247.96,241.41,258,"Himalayan Aasra, Shimla"
2025-02-05,Hotel Plaza,Uttar Pradesh,258.88,250.42,265,"Ganga Kinara Ashram, Varanasi"
2025-02-06,Food Corner,Haryana,236.8,228.79,236,"Aanchal Shelter, Gurugram"
2025-02-06,Marriage Hall,Himachal Pradesh,243.65,233.01,237,"Himalayan Aasra, Shimla"
2025-02-06,NGO Kitchen,Delhi,276.82,267.22,239,"Umeed Ghar, Saket"
2025-02-06,Campus Canteen,Uttar Pradesh,241.18,232.33,246,"Prayag Seva Sadan, Prayagraj"
2025-02-06,Community Center,Rajasthan,277.78,267.82,247,"Thar Seva Sadan, Jodhpur"
2025-02-06,City Restaurant,Uttar Pradesh,231.32,226.08,262,"Vrindavan Aasra, Mathura"
2025-02-07,Hotel Plaza,Delhi,215.48,207.14,243,"Prem Ashram, Lajpat Nagar"
2025-02-07,Marriage Hall,Uttarakhand,264.79,257.66,246,"Mandakini Ashram, Rudraprayag"
2025-02-07,Community Center,Himachal Pradesh,278.78,266.87,247,"Himalayan Aasra, Shimla"
2025-02-07,City Restaurant,Delhi,244.06,237.65,258,"Prem Ashram, Lajpat Nagar"
2025-02-07,Campus Canteen,Uttar Pradesh,236.1,227.63,258,"Vrindavan Aasra, Mathura"
2025-02-07,Food Corner,Jammu & Kashmir,306.43,295.7,261,"Pahalgam Aasra, Pahalgam"
2025-02-08,Local Bakery,Haryana,230.87,223.76,240,"Sukoon Sadan, Hisar"
2025-02-08,City Restaurant,Uttarakhand,247.08,242.03,242,"Uttarakhand Seva Kendra, Nainital"
2025-02-08,Corporate Office,Himachal Pradesh,254.57,245.03,250,"Kullu Seva Kendra, Kullu"
2025-02-08,Hotel Plaza,Delhi,263.98,256.6,253,"Prem Ashram, Lajpat Nagar"
2025-02-08,Student Mess,Haryana,246.57,235.96,258,"Sukoon Sadan, Hisar"
2025-02-08,Food Corner,Haryana,247.79,240.46,260,"Mamta Ashram, Rohtak"
2025-02-08,Marriage Hall,Uttarakhand,305.92,296.93,265,"Devbhumi Shelter, Dehradun"
2025-02-09,NGO Kitchen,Haryana,265.49,253.2,238,"Aanchal Shelter, Gurugram"
2025-02-09,Community Center,Jammu & Kashmir,233.86,227.28,247,"Jhelum Seva Sadan, Jammu"
2025-02-09,Marriage Hall,Delhi,264.08,253.44,249,"Prem Ashram, Lajpat Nagar"
2025-02-09,Campus Canteen,Uttarakhand,246.59,236.83,250,"Uttarakhand Seva Kendra, Nainital"
2025-02-09,City Restaurant,Uttarakhand,278.29,267.93,253,"Uttarakhand Seva Kendra, Nainital"
2025-02-09,Food Corner,Jammu & Kashmir,285.4,279.03,254,"Banihal Relief Home, Banihal"
2025-02-09,Hotel Plaza,Delhi,299.32,291.1,261,"Snehi Niwas, Dwarka"
2025-02-10,Corporate Office,Punjab,274.54,261.97,239,"Vatsal Niwas, Jalandhar"
2025-02-10,Student Mess,Punjab,256.33,248.59,240,"Nanak Niwas, Bathinda"
2025-02-10,Local Bakery,Punjab,222.76,214.42,241,"Khalsa Ashram, Ludhiana"
2025-02-10,NGO Kitchen,Haryana,249.29,239.24,248,"Sukoon Sadan, Hisar"
2025-02-10,Campus Canteen,Uttar Pradesh,234.76,227.4,249,"Prayag Seva Sadan, Prayagraj"
2025-02-10,Food Corner,Uttarakhand,264.21,255.36,260,"Shivalik Aasra, Rishikesh"
2025-02-10,Community Center,Jammu & Kashmir,303.51,295.61,267,"Banihal Relief Home, Banihal"
2025-02-11,Community Center,Rajasthan,235.64,227.74,251,"Thar Seva Sadan, Jodhpur"
2025-02-11,City Restaurant,Punjab,255.77,247.96,251,"Vatsal Niwas, Jalandhar"
2025-02-11,Corporate Office,Punjab,257.38,250.7,256,"Nanak Niwas, Bathinda"
2025-02-11,Student Mess,Uttar Pradesh,312.31,299.96,261,"Vrindavan Aasra, Mathura"
2025-02-11,Food Corner,Himachal Pradesh,298.85,287.28,265,"Himalayan Aasra, Shimla"
2025-02-11,Marriage Hall,Punjab,275.33,264.33,268,"Vatsal Niwas, Jalandhar"
2025-02-12,Student Mess,Delhi,238.0,227.81,242,"Snehi Niwas, Dwarka"
2025-02-12,Hotel Plaza,Uttarakhand,221.08,213.95,246,"Uttarakhand Seva Kendra, Nainital"
2025-02-12,NGO Kitchen,Jammu & Kashmir,296.02,282.38,253,"Dal Kinara Shelter, Srinagar"
2025-02-12,Community Center,Haryana,258.19,252.77,259,"Sukoon Sadan, Hisar"
2025-02-12,Local Bakery,Haryana,251.16,241.91,266,"Mamta Ashram, Rohtak"
2025-02-12,City Restaurant,Himachal Pradesh,279.93,267.75,268,"Kullu Seva Kendra, Kullu"
2025-02-12,Corporate Office,Punjab,317.76,302.65,269,"Khalsa Ashram, Ludhiana"
2025-02-13,Food Corner,Haryana,290.14,277.22,256,"Aanchal Shelter, Gurugram"
2025-02-13,NGO Kitchen,Uttarakhand,263.39,256.48,261,"Devbhumi Shelter, Dehradun"
2025-02-13,Hotel Plaza,Delhi,249.78,239.18,269,"Dil Se Sewa Kendra, Rohini"
2025-02-13,Local Bakery,Jammu & Kashmir,283.9,275.3,270,"Banihal Relief Home, Banihal"
2025-02-14,NGO Kitchen,Uttar Pradesh,286.01,274.47,252,"Vrindavan Aasra, Mathura"
2025-02-14,Community Center,Uttarakhand,277.46,270.62,256,"Uttarakhand Seva Kendra, Nainital"
2025-02-14,Campus Canteen,Jammu & Kashmir,291.07,282.83,265,"Jhelum Seva Sadan, Jammu"
2025-02-15,NGO Kitchen,Rajasthan,283.14,275.06,252,"Thar Seva Sadan, Jodhpur"
2025-02-15,City Restaurant,Haryana,232.13,221.62,256,"Sukoon Sadan, Hisar"
2025-02-15,Student Mess,Punjab,262.33,251.37,264,"Nanak Niwas, Bathinda"
2025-02-16,Food Corner,Jammu & Kashmir,249.46,238.62,251,"Pahalgam Aasra, Pahalgam"
2025-02-16,City Restaurant,Rajasthan,249.64,238.84,266,"Thar Seva Sadan, Jodhpur"
2025-02-16,Hotel Plaza,Uttar Pradesh,246.8,236.59,271,"Shanti Niwas, Lucknow"
2025-02-17,Hotel Plaza,Jammu & Kashmir,237.21,226.95,243,"Banihal Relief Home, Banihal"
2025-02-17,Food Corner,Himachal Pradesh,239.28,228.62,246,"Dharamsala Shelter, Dharamsala"
2025-02-17,Community Center,Delhi,292.06,281.35,248,"Prem Ashram, Lajpat Nagar"
2025-02-17,Corporate Office,Rajasthan,252.79,245.7,261,"Aravalli Niwas, Ajmer"
2025-02-17,Campus Canteen,Himachal Pradesh,256.22,244.85,266,"Dalhousie Relief Home, Dalhousie"
2025-02-17,City Restaurant,Haryana,312.14,298.94,272,"Mamta Ashram, Rohtak"
2025-02-17,Local Bakery,Rajasthan,262.54,253.86,272,"Rajwada Relief Home, Jaipur"
2025-02-18,NGO Kitchen,Punjab,287.2,276.38,245,"Guru Nanak Seva Sadan, Amritsar"
2025-02-18,Campus Canteen,Rajasthan,238.12,233.1,255,"Aravalli Niwas, Ajmer"
2025-02-18,City Restaurant,Rajasthan,227.66,222.94,259,"Bikaner Shelter Trust, Bikaner"
2025-02-19,Community Center,Punjab,261.8,249.86,256,"Sewa Bhawan, Patiala"
2025-02-19,Corporate Office,Uttar Pradesh,237.95,226.87,266,"Shanti Niwas, Lucknow"
2025-02-19,NGO Kitchen,Punjab,308.95,301.21,272,"Khalsa Ashram, Ludhiana"
2025-02-20,Corporate Office,Himachal Pradesh,286.48,280.1,247,"Dharamsala Shelter, Dharamsala"
2025-02-20,Campus Canteen,Himachal Pradesh,290.35,279.1,261,"Dalhousie Relief Home, Dalhousie"
2025-02-20,Hotel Plaza,Uttarakhand,294.91,283.05,261,"Devbhumi Shelter, Dehradun"
2025-02-20,Marriage Hall,Delhi,265.58,257.74,273,"Aasra Shelter Home, Paharganj"
2025-02-21,Local Bakery,Uttar Pradesh,256.86,248.85,244,"Prayag Seva Sadan, Prayagraj"
2025-02-21,Community Center,Uttar Pradesh,238.51,229.24,248,"Agra Relief Center, Agra"
2025-02-21,Hotel Plaza,Haryana,254.49,248.44,259,"Sahara Bhawan, Karnal"
2025-02-21,Student Mess,Punjab,231.03,225.75,265,"Sewa Bhawan, Patiala"
2025-02-21,Food Corner,Delhi,292.75,283.9,268,"Dil Se Sewa Kendra, Rohini"
2025-02-22,Hotel Plaza,Haryana,267.25,258.01,253,"Sahara Bhawan, Karnal"
2025-02-22,Student Mess,Punjab,232.45,224.09,258,"Guru Nanak Seva Sadan, Amritsar"
2025-02-22,NGO Kitchen,Rajasthan,267.31,261.75,259,"Rajwada Relief Home, Jaipur"
2025-02-22,Food Corner,Jammu & Kashmir,291.52,278.54,259,"Banihal Relief Home, Banihal"
2025-02-22,Community Center,Haryana,242.66,232.18,261,"Priya Niwas, Faridabad"
2025-02-23,Local Bakery,Jammu & Kashmir,222.77,217.73,248,"Pahalgam Aasra, Pahalgam"
2025-02-23,Marriage Hall,Delhi,256.07,250.1,257,"Dil Se Sewa Kendra, Rohini"
2025-02-23,Corporate Office,Uttar Pradesh,255.03,243.43,268,"Agra Relief Center, Agra"
2025-02-23,City Restaurant,Uttar Pradesh,282.61,270.06,269,"Prayag Seva Sadan, Prayagraj"
2025-02-23,Student Mess,Uttarakhand,260.01,248.38,271,"Devbhumi Shelter, Dehradun"
2025-02-23,NGO Kitchen,Rajasthan,253.51,244.53,272,"Aravalli Niwas, Ajmer"
2025-02-24,Campus Canteen,Rajasthan,247.95,236.32,250,"Rajwada Relief Home, Jaipur"
2025-02-24,Community Center,Punjab,225.79,219.07,250,"Nanak Niwas, Bathinda"
2025-02-24,Food Corner,Uttarakhand,230.43,224.51,256,"Mandakini Ashram, Rudraprayag"
2025-02-24,NGO Kitchen,Punjab,258.46,247.88,273,"Khalsa Ashram, Ludhiana"
2025-02-24,City Restaurant,Jammu & Kashmir,259.66,254.22,274,"Pahalgam Aasra, Pahalgam"
2025-02-25,Student Mess,Jammu & Kashmir,226.57,218.02,252,"Chenab Niwas, Udhampur"
2025-02-25,Marriage Hall,Uttarakhand,268.8,262.6,253,"Shivalik Aasra, Rishikesh"
2025-02-25,Food Corner,Himachal Pradesh,298.92,285.58,257,"Himalayan Aasra, Shimla"
2025-02-25,Community Center,Jammu & Kashmir,257.61,246.9,260,"Banihal Relief Home, Banihal"
2025-02-25,Hotel Plaza,Himachal Pradesh,261.49,252.77,270,"Dharamsala Shelter, Dharamsala"
2025-02-25,City Restaurant,Jammu & Kashmir,289.02,283.19,270,"Banihal Relief Home, Banihal"
2025-02-25,Campus Canteen,Delhi,269.19,258.7,277,"Umeed Ghar, Saket"
2025-02-26,City Restaurant,Delhi,258.79,247.83,249,"Dil Se Sewa Kendra, Rohini"
2025-02-26,NGO Kitchen,Jammu & Kashmir,234.72,229.06,251,"Chenab Niwas, Udhampur"
2025-02-26,Corporate Office,Jammu & Kashmir,264.03,258.02,254,"Chenab Niwas, Udhampur"
2025-02-26,Campus Canteen,Haryana,290.07,277.75,260,"Aanchal Shelter, Gurugram"
2025-02-26,Hotel Plaza,Punjab,254.44,244.27,267,"Khalsa Ashram, Ludhiana"
2025-02-26,Community Center,Delhi,295.21,287.81,272,"Aasra Shelter Home, Paharganj"
2025-02-26,Student Mess,Rajasthan,308.48,297.45,276,"Aravalli Niwas, Ajmer"
2025-02-27,Community Center,Delhi,298.4,286.43,255,"Dil Se Sewa Kendra, Rohini"
2025-02-27,City Restaurant,Rajasthan,283.05,270.8,267,"Mewar Ashram, Udaipur"
2025-02-27,Corporate Office,Uttar Pradesh,268.96,257.26,274,"Vrindavan Aasra, Mathura"
2025-02-28,Marriage Hall,Jammu & Kashmir,299.55,286.63,261,"Pahalgam Aasra, Pahalgam"
2025-02-28,Student Mess,Punjab,277.39,268.67,262,"Khalsa Ashram, Ludhiana"
2025-02-28,Local Bakery,Jammu & Kashmir,250.73,240.67,267,"Jhelum Seva Sadan, Jammu"
2025-02-28,Hotel Plaza,Delhi,243.78,238.78,269,"Umeed Ghar, Saket"
2025-02-28,Food Corner,Haryana,273.06,262.52,270,"Sahara Bhawan, Karnal"
2025-02-28,City Restaurant,Himachal Pradesh,305.03,296.44,277,"Manali Niwas, Manali"
2025-02-28,Corporate Office,Himachal Pradesh,274.01,266.16,279,"Dharamsala Shelter, Dharamsala"
2025-03-01,Local Bakery,Rajasthan,238.79,231.91,251,"Rajwada Relief Home, Jaipur"
2025-03-01,City Restaurant,Uttarakhand,255.97,245.43,258,"Devbhumi Shelter, Dehradun"
2025-03-01,Corporate Office,Uttarakhand,290.78,283.62,260,"Devbhumi Shelter, Dehradun"
2025-03-01,Student Mess,Himachal Pradesh,328.55,313.13,274,"Kullu Seva Kendra, Kullu"
2025-03-02,Community Center,Uttar Pradesh,229.0,222.6,252,"Prayag Seva Sadan, Prayagraj"
2025-03-02,Local Bakery,Uttarakhand,254.09,245.41,258,"Uttarakhand Seva Kendra, Nainital"
2025-03-02,Hotel Plaza,Rajasthan,263.04,250.99,266,"Bikaner Shelter Trust, Bikaner"
2025-03-02,Corporate Office,Uttar Pradesh,294.18,286.17,274,"Agra Relief Center, Agra"
2025-03-02,NGO Kitchen,Uttar Pradesh,275.2,262.2,275,"Shanti Niwas, Lucknow"
2025-03-02,City Restaurant,Delhi,252.52,243.82,275,"Umeed Ghar, Saket"
2025-03-03,City Restaurant,Uttarakhand,284.2,277.22,255,"Mandakini Ashram, Rudraprayag"
2025-03-03,Community Center,Punjab,236.05,227.54,255,"Khalsa Ashram, Ludhiana"
2025-03-03,Campus Canteen,Haryana,298.45,284.81,256,"Sukoon Sadan, Hisar"
2025-03-03,Marriage Hall,Rajasthan,243.5,233.64,265,"Bikaner Shelter Trust, Bikaner"
2025-03-03,Local Bakery,Delhi,285.83,275.72,272,"Dil Se Sewa Kendra, Rohini"
2025-03-04,City Restaurant,Jammu & Kashmir,230.73,222.15,254,"Jhelum Seva Sadan, Jammu"
2025-03-04,NGO Kitchen,Haryana,268.29,261.73,259,"Mamta Ashram, Rohtak"
2025-03-04,Hotel Plaza,Uttar Pradesh,287.4,279.53,267,"Vrindavan Aasra, Mathura"
2025-03-04,Campus Canteen,Jammu & Kashmir,242.88,233.19,271,"Pahalgam Aasra, Pahalgam"
2025-03-04,Marriage Hall,Uttar Pradesh,244.01,235.76,273,"Vrindavan Aasra, Mathura"
2025-03-04,Food Corner,Uttar Pradesh,329.48,317.7,277,"Prayag Seva Sadan, Prayagraj"
2025-03-05,Student Mess,Uttarakhand,234.23,228.78,254,"Mandakini Ashram, Rudraprayag"
2025-03-05,NGO Kitchen,Jammu & Kashmir,239.69,231.03,261,"Chenab Niwas, Udhampur"
2025-03-05,Campus Canteen,Uttar Pradesh,239.91,230.21,268,"Vrindavan Aasra, Mathura"
2025-03-05,Local Bakery,Uttar Pradesh,291.33,278.39,278,"Agra Relief Center, Agra"
2025-03-05,Hotel Plaza,Uttarakhand,282.02,275.34,280,"Mandakini Ashram, Rudraprayag"
2025-03-06,Marriage Hall,Delhi,287.96,280.13,269,"Dil Se Sewa Kendra, Rohini"
2025-03-06,Campus Canteen,Jammu & Kashmir,266.74,258.0,270,"Banihal Relief Home, Banihal"
2025-03-06,Community Center,Delhi,304.4,291.2,270,"Aasra Shelter Home, Paharganj"
2025-03-06,Student Mess,Rajasthan,329.24,316.17,276,"Mewar Ashram, Udaipur"
2025-03-06,Food Corner,Haryana,295.86,282.6,282,"Sukoon Sadan, Hisar"
2025-03-07,Student Mess,Punjab,281.84,275.5,255,"Guru Nanak Seva Sadan, Amritsar"
2025-03-07,NGO Kitchen,Delhi,255.23,249.98,255,"Prem Ashram, Lajpat Nagar"
2025-03-07,Local Bakery,Uttarakhand,263.19,253.85,258,"Mandakini Ashram, Rudraprayag"
2025-03-07,City Restaurant,Uttarakhand,286.73,275.48,266,"Shivalik Aasra, Rishikesh"
2025-03-07,Food Corner,Uttarakhand,303.5,290.74,277,"Devbhumi Shelter, Dehradun"
2025-03-08,Marriage Hall,Punjab,245.42,239.96,257,"Nanak Niwas, Bathinda"
2025-03-08,Hotel Plaza,Uttar Pradesh,261.72,256.47,262,"Agra Relief Center, Agra"
2025-03-08,NGO Kitchen,Uttar Pradesh,244.37,237.3,267,"Prayag Seva Sadan, Prayagraj"
2025-03-08,Corporate Office,Punjab,285.3,279.65,268,"Nanak Niwas, Bathinda"
2025-03-08,Food Corner,Haryana,246.45,238.26,278,"Sahara Bhawan, Karnal"
2025-03-08,Campus Canteen,Himachal Pradesh,290.58,282.06,282,"Kullu Seva Kendra, Kullu"
2025-03-09,Community Center,Himachal Pradesh,271.42,263.93,256,"Himalayan Aasra, Shimla"
2025-03-09,Campus Canteen,Rajasthan,235.43,227.88,259,"Bikaner Shelter Trust, Bikaner"
2025-03-09,Student Mess,Punjab,248.84,243.56,263,"Sewa Bhawan, Patiala"
2025-03-09,Corporate Office,Jammu & Kashmir,276.88,266.88,265,"Jhelum Seva Sadan, Jammu"
2025-03-10,Marriage Hall,Uttarakhand,266.88,256.4,257,"Mandakini Ashram, Rudraprayag"
2025-03-10,Corporate Office,Haryana,296.33,287.08,264,"Sahara Bhawan, Karnal"
2025-03-10,Local Bakery,Uttarakhand,282.29,275.58,278,"Uttarakhand Seva Kendra, Nainital"
2025-03-10,Hotel Plaza,Haryana,261.48,255.29,281,"Priya Niwas, Faridabad"
2025-03-10,Community Center,Himachal Pradesh,306.43,294.87,282,"Kullu Seva Kendra, Kullu"
2025-03-10,Campus Canteen,Jammu & Kashmir,313.49,306.85,283,"Dal Kinara Shelter, Srinagar"
2025-03-11,Community Center,Jammu & Kashmir,231.41,223.15,257,"Chenab Niwas, Udhampur"
2025-03-11,Campus Canteen,Jammu & Kashmir,272.66,265.93,258,"Dal Kinara Shelter, Srinagar"
2025-03-11,City Restaurant,Delhi,287.52,280.98,280,"Snehi Niwas, Dwarka"
